steel supplier,zone,city,state,rating(out of 5),number of reviews,type of steel,price/kg(rupee),category of tmt bar company,year of establishment,response ,delivery,quality,,,,,,,,,
Sancom Composites Llp,west,mumbai,maharashtra,3.6,18,tmt bar,60,1,1988,0.5,0.33,0.33,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,vizag tmt bar,53,3,2010,0.67,0.78,0.78,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,sail tmt bar,49,6,2010,0.67,0.78,0.78,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,jsw neosteel tmt bar,55.5,5,2010,0.67,0.78,0.78,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,trishul tmt bar,48,1,2010,0.67,0.78,0.78,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,kamdhenu tmt bar,51,4,2010,0.67,0.78,0.78,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,tata tiscon tmt bar,57,6,2010,0.67,0.78,0.78,,,,,,,,,
Khinvasara Associates Construction Private Limited,west,mumbai,maharashtra,3.9,151,jindal panther tmt bar,55,5,2010,0.67,0.78,0.78,,,,,,,,,
Mehta Steel Syndicate,west,pune,maharashtra,4.4,59,jsw neosteel tmt bar,54,5,1982,0.93,0.87,1,,,,,,,,,
Manmohan Ispat Private Limited,west,pune,maharashtra,4.2,206,jsw neosteel tmt bar,60,5,1982,0.66,0.6,0.83,,,,,,,,,
J & T Enterprise,west,rajkot,gujarat,4.4,32,tmt bar,66.5,1,2018,0.85,0.5,0.66,,,,,,,,,
shrey steel,west,ahemdabad,gujarat,4.3,26,tmt bar,53.5,1,2008,0.5,0.6,0.66,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,tata tiscon tmt bar,63.5,6,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,jindal panther tmt bar,47,5,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,sail tmt bar,57.5,6,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,jyoti tmt bar,50.8,2,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,prime gold tmt bar,49,1,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,essar tmt bar,52.9,3,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,jsw neosteel tmt bar,58.5,5,2016,0.88,0.88,0.85,,,,,,,,,
Shree Shyam Steels,north,ludhiana,punjab,4.3,55,kamdhenu tmt bar,49.8,4,2016,0.88,0.88,0.85,,,,,,,,,
DP Sasles corporation,north ,ludhiana,punjab,4.2,54,jindal panther tmt bar,47,5,1982,0.62,0.66,0.75,,,,,,,,,
Nav Bharat Enterprises,north,ghaziabad,uttar pradesh,4,88,sail tmt bar,54,6,1988,0.65,0.66,0.66,,,,,,,,,
Friends Ispat Limited,west,ahemdabad,gujarat,3.9,10,friends tmt bar,62.8,1,1998,0.66,1,0.66,,,,,,,,,
Allied Business Corporation,west,udaipur,rajasthan,4.3,82,kamdhenu tmt bar,54.5,4,2002,0.84,0.93,0.92,,,,,,,,,
Allied Business Corporation,west,udaipur,rajasthan,4.3,82,jsw neosteel tmt bar,59.5,5,2002,0.84,0.93,0.92,,,,,,,,,
Allied Business Corporation,west,udaipur,rajasthan,4.3,82,sail tmt bar,60,6,2002,0.84,0.93,0.92,,,,,,,,,
Shyam Sales Enterprises,west,jaipur,rajasthan,3.9,65,sail tmt bar,58,6,1995,0.9,0.9,0.8,,,,,,,,,
Shyam Sales Enterprises,west,jaipur,rajasthan,3.9,65,jsw neosteel tmt bar,62,5,1995,0.9,0.9,0.8,,,,,,,,,
Shyam Sales Enterprises,west,jaipur,rajasthan,3.9,65,jindal panther tmt bar,52,5,1995,0.9,0.9,0.8,,,,,,,,,
Shyam Sales Enterprises,west,jaipur,rajasthan,3.9,65,vizag tmt bar,62,3,1995,0.9,0.9,0.8,,,,,,,,,
